id,from,at,to,open,close,min,max,volume
5267338,2024-11-14 18:24:00,1731608670000000000,1731608670,0.587045,0.587015,0.587015,0.587055,43
5267339,2024-11-14 18:24:30,1731608700000000000,1731608700,0.587005,0.586955,0.58695,0.58705,66
5267340,2024-11-14 18:25:00,1731608730000000000,1731608730,0.586955,0.586965,0.586935,0.586975,36
5267341,2024-11-14 18:25:30,1731608760000000000,1731608760,0.586955,0.58703,0.58695,0.58704,39
5267342,2024-11-14 18:26:00,1731608790000000000,1731608790,0.58704,0.587005,0.587,0.587065,29
5267343,2024-11-14 18:26:30,1731608820000403515,1731608820,0.587005,0.587055,0.587005,0.58706,43
5267344,2024-11-14 18:27:00,1731608850000730140,1731608850,0.58706,0.58704,0.58702,0.58707,23
5267345,2024-11-14 18:27:30,1731608880000000000,1731608880,0.58704,0.58701,0.58701,0.58708,40
5267346,2024-11-14 18:28:00,1731608910000000000,1731608910,0.58701,0.58697,0.586965,0.58706,42
5267347,2024-11-14 18:28:30,1731608940002965162,1731608940,0.586975,0.587005,0.586945,0.587015,18
5267348,2024-11-14 18:29:00,1731608970000000000,1731608970,0.586975,0.58686,0.586855,0.586975,41
5267349,2024-11-14 18:29:30,1731609000000000000,1731609000,0.58686,0.586745,0.586745,0.58686,39
5267350,2024-11-14 18:30:00,1731609030000000000,1731609030,0.58676,0.58677,0.58671,0.58678,57
5267351,2024-11-14 18:30:30,1731609060000000000,1731609060,0.58678,0.58673,0.586725,0.58678,40
5267352,2024-11-14 18:31:00,1731609090000000000,1731609090,0.58673,0.586735,0.586715,0.586755,27
5267353,2024-11-14 18:31:30,1731609120000000000,1731609120,0.586735,0.586815,0.586735,0.58682,33
5267354,2024-11-14 18:32:00,1731609150000000000,1731609150,0.586815,0.586765,0.586755,0.58685,27
5267355,2024-11-14 18:32:30,1731609180000000000,1731609180,0.586785,0.586805,0.58678,0.58683,40
5267356,2024-11-14 18:33:00,1731609210000000000,1731609210,0.58681,0.586745,0.586705,0.58681,42
5267357,2024-11-14 18:33:30,1731609240000000000,1731609240,0.58676,0.586745,0.58673,0.58677,52
5267358,2024-11-14 18:34:00,1731609270000000000,1731609270,0.586745,0.586685,0.58668,0.58676,33
5267359,2024-11-14 18:34:30,1731609300000000000,1731609300,0.586685,0.58667,0.58665,0.586715,29
5267360,2024-11-14 18:35:00,1731609330000000000,1731609330,0.586675,0.586685,0.586675,0.58675,54
5267361,2024-11-14 18:35:30,1731609360000000000,1731609360,0.586685,0.586765,0.586685,0.586775,33
5267362,2024-11-14 18:36:00,1731609390000000000,1731609390,0.586745,0.586875,0.58674,0.5869,54
5267363,2024-11-14 18:36:30,1731609420000000000,1731609420,0.58687,0.58681,0.58681,0.58687,31
5267364,2024-11-14 18:37:00,1731609450000000000,1731609450,0.58681,0.586805,0.58679,0.586835,36
5267365,2024-11-14 18:37:30,1731609480000000000,1731609480,0.586805,0.58686,0.5868,0.58686,21
